scenario,time_s,x,bot,area,vttc_s,dlog,corridor,lateral,proximity,urgency,speed,turn,risk,risk_class,command
crossing_right_to_left,0.0,0.88,0.42,0.07,7.0,0.2,False,0.76,0.3274,0.3,0.7825,0.0,0.15,LOW,HOLD_COURSE
crossing_right_to_left,0.2,0.8724,0.4269,0.0741,6.8806,0.2,False,0.7448,0.3351,0.3,0.7806,0.0,0.1514,LOW,HOLD_COURSE
crossing_right_to_left,0.4,0.8648,0.4338,0.0782,6.7614,0.2,False,0.7296,0.3428,0.3,0.7787,0.0,0.1528,LOW,HOLD_COURSE
crossing_right_to_left,0.6,0.8572,0.4407,0.0822,6.6424,0.2,False,0.7144,0.3504,0.3,0.7768,0.0,0.1543,LOW,HOLD_COURSE
crossing_right_to_left,0.8,0.8496,0.4476,0.0863,6.5237,0.2,False,0.6992,0.358,0.3,0.7748,0.0,0.1558,LOW,HOLD_COURSE
crossing_right_to_left,1.0,0.842,0.4544,0.0903,6.4055,0.2,False,0.684,0.3656,0.3,0.7729,0.0,0.1572,LOW,HOLD_COURSE
crossing_right_to_left,1.2,0.8344,0.4612,0.0944,6.288,0.2,False,0.6688,0.3732,0.3,0.771,0.0,0.1587,LOW,HOLD_COURSE
crossing_right_to_left,1.4,0.8268,0.468,0.0984,6.1711,0.2,False,0.6536,0.3807,0.3,0.769,0.0,0.1602,LOW,HOLD_COURSE
crossing_right_to_left,1.6,0.8192,0.4747,0.1023,6.055,0.1934,False,0.6384,0.3882,0.3,0.7694,0.0,0.16,LOW,HOLD_COURSE
crossing_right_to_left,1.8,0.8116,0.4814,0.1063,5.9398,0.1846,False,0.6232,0.3955,0.3094,0.7366,-0.081,0.1873,LOW,HOLD_COURSE
crossing_right_to_left,2.0,0.804,0.488,0.1102,5.8257,0.1764,False,0.608,0.4029,0.321,0.7065,-0.1513,0.2118,LOW,HOLD_COURSE
crossing_right_to_left,2.2,0.7964,0.4945,0.114,5.7128,0.1686,False,0.5928,0.4101,0.3256,0.7001,-0.169,0.217,LOW,HOLD_COURSE
crossing_right_to_left,2.4,0.7888,0.501,0.1179,5.6011,0.1612,False,0.5776,0.4173,0.3306,0.6937,-0.1865,0.2221,LOW,HOLD_COURSE
crossing_right_to_left,2.6,0.7812,0.5074,0.1216,5.4908,0.1541,False,0.5624,0.4244,0.3361,0.6876,-0.2032,0.227,LOW,HOLD_COURSE
crossing_right_to_left,2.8,0.7736,0.5137,0.1254,5.382,0.1475,False,0.5472,0.4314,0.3419,0.6819,-0.2191,0.2316,LOW,HOLD_COURSE
crossing_right_to_left,3.0,0.766,0.5199,0.129,5.2748,0.1411,False,0.532,0.4383,0.3479,0.6693,-0.2418,0.2413,LOW,HOLD_COURSE
crossing_right_to_left,3.2,0.7584,0.526,0.1326,5.1693,0.135,False,0.5168,0.445,0.3542,0.6539,-0.267,0.2531,LOW,HOLD_COURSE
crossing_right_to_left,3.4,0.7508,0.532,0.1362,5.0656,0.1291,False,0.5016,0.4517,0.3605,0.6381,-0.2923,0.2652,LOW,HOLD_COURSE
crossing_right_to_left,3.6,0.7432,0.5379,0.1397,4.9639,0.1235,False,0.4864,0.4582,0.367,0.622,-0.3175,0.2774,LOW,HOLD_COURSE
crossing_right_to_left,3.8,0.7356,0.5437,0.1431,4.8641,0.1181,False,0.4712,0.4647,0.3735,0.6056,-0.3427,0.2896,LOW,HOLD_COURSE
crossing_right_to_left,4.0,0.728,0.5493,0.1464,4.7664,0.1129,False,0.456,0.4709,0.38,0.5889,-0.3678,0.3018,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.2,0.7204,0.5548,0.1497,4.671,0.1078,False,0.4408,0.4771,0.3865,0.5719,-0.3929,0.3141,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.4,0.7128,0.5602,0.1529,4.5778,0.103,False,0.4256,0.483,0.3928,0.5546,-0.4181,0.3264,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.6,0.7052,0.5655,0.156,4.487,0.0982,False,0.4104,0.4889,0.3991,0.5371,-0.4431,0.3387,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.8,0.6976,0.5706,0.159,4.3987,0.0936,False,0.3952,0.4945,0.4052,0.5192,-0.4682,0.3509,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.0,0.69,0.5756,0.1619,4.313,0.0892,False,0.38,0.5001,0.4111,0.501,-0.4933,0.363,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.2,0.6824,0.5804,0.1648,4.2299,0.0849,False,0.3648,0.5054,0.4168,0.4825,-0.5182,0.3749,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.4,0.6748,0.585,0.1675,4.1496,0.0806,False,0.3496,0.5106,0.4222,0.4695,-0.5277,0.383,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.6,0.6672,0.5895,0.1702,4.072,0.0765,False,0.3344,0.5155,0.4274,0.4569,-0.4388,0.3908,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.8,0.6596,0.5938,0.1727,3.9974,0.0725,False,0.3192,0.5203,0.4323,0.443,-0.3476,0.3991,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.0,0.652,0.598,0.1752,3.9257,0.0685,False,0.304,0.5249,0.4369,0.4274,-0.2545,0.4083,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.2,0.6444,0.602,0.1775,3.8571,0.0647,False,0.2888,0.5293,0.4411,0.4096,-0.1614,0.4183,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.4,0.6368,0.6058,0.1798,3.7916,0.0609,False,0.2736,0.5336,0.445,0.3889,-0.0682,0.4297,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.6,0.6292,0.6094,0.1819,3.7292,0.0572,False,0.2584,0.5376,0.4485,0.3629,0.0252,0.4434,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.8,0.6216,0.6128,0.1839,3.67,0.0535,False,0.2432,0.5414,0.4516,0.35,0.118,0.45,MEDIUM,SLOW_DOWN
crossing_right_to_left,7.0,0.614,0.616,0.1858,3.6142,0.0499,True,0.1254,0.5449,0.5543,0.35,0.6882,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.2,0.6064,0.6191,0.1876,3.5617,0.0463,True,0.117,0.5483,0.5565,0.35,0.6906,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.4,0.5988,0.6219,0.1893,3.5125,0.0428,True,0.1087,0.5515,0.5584,0.35,0.6931,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.6,0.5912,0.6246,0.1909,3.4668,0.0394,True,0.1003,0.5544,0.5597,0.35,0.6955,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.8,0.5836,0.627,0.1923,3.4247,0.036,True,0.092,0.5571,0.5606,0.35,0.6978,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.0,0.576,0.6292,0.1936,3.386,0.0326,True,0.0836,0.5596,0.5609,0.35,0.7002,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.2,0.5684,0.6313,0.1948,3.3509,0.0292,True,0.0752,0.5619,0.5608,0.35,0.7025,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.4,0.5608,0.6331,0.1959,3.3194,0.0259,True,0.0669,0.5639,0.5602,0.35,0.7047,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.6,0.5532,0.6347,0.1969,3.2915,0.0226,True,0.0585,0.5657,0.559,0.35,0.7069,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.8,0.5456,0.6361,0.1977,3.2673,0.0194,True,0.0502,0.5672,0.5573,0.35,0.709,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.0,0.538,0.6373,0.1984,3.2468,0.0161,True,0.0418,0.5686,0.5551,0.35,0.7111,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.2,0.5304,0.6383,0.199,3.23,0.0129,True,0.0334,0.5696,0.5523,0.35,0.7132,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.4,0.5228,0.639,0.1994,3.2169,0.0096,True,0.0251,0.5705,0.549,0.35,0.7143,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.6,0.5152,0.6396,0.1997,3.2075,0.0064,True,0.0167,0.5711,0.5451,0.35,0.7141,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.8,0.5076,0.6399,0.1999,3.2019,0.0032,True,0.0084,0.5714,0.5406,0.35,0.714,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.0,0.5,0.64,0.2,3.2,0.0,True,0.0,0.5716,0.5356,0.35,0.714,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.2,0.4924,0.6399,0.1999,3.2019,-0.0032,True,-0.0084,0.5714,0.5353,0.35,0.714,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.4,0.4848,0.6396,0.1997,3.2075,-0.0064,True,-0.0167,0.5711,0.5344,0.35,0.7141,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.6,0.4772,0.639,0.1994,3.2169,-0.0096,True,-0.0251,0.5705,0.5329,0.35,0.7143,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.8,0.4696,0.6383,0.199,3.23,-0.0129,True,-0.0334,0.5696,0.5309,0.35,0.7132,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.0,0.462,0.6373,0.1984,3.2468,-0.0161,True,-0.0418,0.5686,0.5283,0.35,0.7111,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.2,0.4544,0.6361,0.1977,3.2673,-0.0194,True,-0.0502,0.5672,0.5251,0.35,0.709,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.4,0.4468,0.6347,0.1969,3.2915,-0.0226,True,-0.0585,0.5657,0.5213,0.35,0.7069,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.6,0.4392,0.6331,0.1959,3.3194,-0.0259,True,-0.0669,0.5639,0.517,0.35,0.7047,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.8,0.4316,0.6313,0.1948,3.3509,-0.0292,True,-0.0752,0.5619,0.5121,0.35,0.7025,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,12.0,0.424,0.6292,0.1936,3.386,-0.0326,True,-0.0836,0.5596,0.5066,0.35,0.7002,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,12.2,0.4164,0.627,0.1923,3.4247,-0.036,True,-0.092,0.5571,0.5006,0.35,0.6978,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,12.4,0.4088,0.6246,0.1909,3.4668,-0.0394,True,-0.1003,0.5544,0.494,0.35,0.6955,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,12.6,0.4012,0.6219,0.1893,3.5125,-0.0428,True,-0.1087,0.5515,0.4869,0.35,0.6931,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,12.8,0.3936,0.6191,0.1876,3.5617,-0.0463,True,-0.117,0.5483,0.4793,0.35,0.6906,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,13.0,0.386,0.616,0.1858,3.6142,-0.0499,True,-0.1254,0.5449,0.4711,0.35,0.6882,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,13.2,0.3784,0.6128,0.1839,3.67,-0.0535,False,-0.2432,0.5414,0.3624,0.537,0.3452,0.339,MEDIUM,SLOW_DOWN
crossing_right_to_left,13.4,0.3708,0.6094,0.1819,3.7292,-0.0572,False,-0.2584,0.5376,0.3532,0.5668,0.3401,0.3181,MEDIUM,SLOW_DOWN
crossing_right_to_left,13.6,0.3632,0.6058,0.1798,3.7916,-0.0609,False,-0.2736,0.5336,0.3435,0.5973,0.3009,0.2957,LOW,HOLD_COURSE
crossing_right_to_left,13.8,0.3556,0.602,0.1775,3.8571,-0.0647,False,-0.2888,0.5293,0.3333,0.6292,0.244,0.2718,LOW,HOLD_COURSE
