scenario,time_s,x,bot,area,vttc_s,dlog,corridor,lateral,proximity,urgency,speed,turn,risk,risk_class,command
no_obstacle,0.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,0.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,0.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,0.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,0.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,1.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,1.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,1.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,1.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,1.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,2.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,2.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,2.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,2.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,2.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,3.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,3.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,3.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,3.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,3.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,4.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,4.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,4.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,4.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,4.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,5.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,5.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,5.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,5.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,5.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,6.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,6.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,6.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,6.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,6.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,7.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,7.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,7.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,7.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,7.8,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,8.0,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,8.2,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,8.4,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
no_obstacle,8.6,0.5,0.05,0.0,99.0,0.0,False,0.0,0.0325,0.0,0.8003,0.0,0.1365,LOW,HOLD_COURSE
