No,Lateral Position,Visual Proximity,Approach Urgency,Risk Score,Speed Factor,Turn Bias,mu_lateral,mu_proximity,mu_urgency,firing_strength
1,LEFT,FAR,LOW,LOW,NORMAL,STRAIGHT,0.0,0.0,0.0,0.0
2,LEFT,MEDIUM,LOW,LOW,NORMAL,STRAIGHT,0.0,0.92,0.0,0.0
3,LEFT,NEAR,LOW,MEDIUM,SLOW,RIGHT,0.0,0.0,0.0,0.0
4,LEFT,FAR,MEDIUM,LOW,NORMAL,STRAIGHT,0.0,0.0,0.4,0.0
5,LEFT,MEDIUM,MEDIUM,MEDIUM,SLOW,RIGHT,0.0,0.92,0.4,0.0
6,LEFT,NEAR,MEDIUM,HIGH,STOP,RIGHT,0.0,0.0,0.4,0.0
7,LEFT,FAR,HIGH,MEDIUM,SLOW,RIGHT,0.0,0.0,0.0,0.0
8,LEFT,MEDIUM,HIGH,HIGH,SLOW,RIGHT,0.0,0.92,0.0,0.0
9,LEFT,NEAR,HIGH,HIGH,STOP,RIGHT,0.0,0.0,0.0,0.0
10,CENTER,FAR,LOW,LOW,NORMAL,STRAIGHT,1.0,0.0,0.0,0.0
11,CENTER,MEDIUM,LOW,LOW,NORMAL,STRAIGHT,1.0,0.92,0.0,0.0
12,CENTER,NEAR,LOW,MEDIUM,SLOW,STRAIGHT,1.0,0.0,0.0,0.0
13,CENTER,FAR,MEDIUM,LOW,NORMAL,STRAIGHT,1.0,0.0,0.4,0.0
14,CENTER,MEDIUM,MEDIUM,MEDIUM,SLOW,RIGHT,1.0,0.92,0.4,0.4
15,CENTER,NEAR,MEDIUM,HIGH,STOP,RIGHT,1.0,0.0,0.4,0.0
16,CENTER,FAR,HIGH,MEDIUM,SLOW,RIGHT,1.0,0.0,0.0,0.0
17,CENTER,MEDIUM,HIGH,HIGH,SLOW,RIGHT,1.0,0.92,0.0,0.0
18,CENTER,NEAR,HIGH,HIGH,STOP,RIGHT,1.0,0.0,0.0,0.0
19,RIGHT,FAR,LOW,LOW,NORMAL,STRAIGHT,0.0,0.0,0.0,0.0
20,RIGHT,MEDIUM,LOW,LOW,NORMAL,STRAIGHT,0.0,0.92,0.0,0.0
21,RIGHT,NEAR,LOW,MEDIUM,SLOW,LEFT,0.0,0.0,0.0,0.0
22,RIGHT,FAR,MEDIUM,LOW,NORMAL,STRAIGHT,0.0,0.0,0.4,0.0
23,RIGHT,MEDIUM,MEDIUM,MEDIUM,SLOW,LEFT,0.0,0.92,0.4,0.0
24,RIGHT,NEAR,MEDIUM,HIGH,STOP,LEFT,0.0,0.0,0.4,0.0
25,RIGHT,FAR,HIGH,MEDIUM,SLOW,LEFT,0.0,0.0,0.0,0.0
26,RIGHT,MEDIUM,HIGH,HIGH,SLOW,LEFT,0.0,0.92,0.0,0.0
27,RIGHT,NEAR,HIGH,HIGH,STOP,LEFT,0.0,0.0,0.0,0.0
