scenario,time_s,x,bot,area,vttc_s,dlog,corridor,lateral,proximity,urgency,speed,turn,risk,risk_class,command
side_safe_obstacle,0.0,0.14,0.5,0.08,9.0,0.0779,False,-0.72,0.3872,0.1298,0.7692,0.0,0.1601,LOW,HOLD_COURSE
side_safe_obstacle,0.2,0.1419,0.5025,0.0813,9.0,0.0771,False,-0.7162,0.3898,0.1286,0.7697,0.0,0.1597,LOW,HOLD_COURSE
side_safe_obstacle,0.4,0.1438,0.505,0.0825,9.0,0.0755,False,-0.7125,0.3924,0.1259,0.7702,0.0,0.1593,LOW,HOLD_COURSE
side_safe_obstacle,0.6,0.1456,0.5075,0.0837,9.0,0.0737,False,-0.7088,0.395,0.1228,0.7708,0.0,0.1589,LOW,HOLD_COURSE
side_safe_obstacle,0.8,0.1475,0.5099,0.085,9.0,0.0716,False,-0.7051,0.3976,0.1193,0.7713,0.0,0.1585,LOW,HOLD_COURSE
side_safe_obstacle,1.0,0.1493,0.5124,0.0862,9.0,0.0693,False,-0.7015,0.4001,0.1155,0.7718,0.0,0.1581,LOW,HOLD_COURSE
side_safe_obstacle,1.2,0.151,0.5147,0.0874,9.0,0.0668,False,-0.6979,0.4025,0.1114,0.7723,0.0,0.1577,LOW,HOLD_COURSE
side_safe_obstacle,1.4,0.1528,0.517,0.0885,9.0,0.0642,False,-0.6945,0.4049,0.107,0.7728,0.0,0.1573,LOW,HOLD_COURSE
side_safe_obstacle,1.6,0.1545,0.5193,0.0896,9.0,0.0614,False,-0.6911,0.4072,0.1023,0.7733,0.0,0.157,LOW,HOLD_COURSE
side_safe_obstacle,1.8,0.1561,0.5214,0.0907,9.0,0.0585,False,-0.6879,0.4095,0.0974,0.7737,0.0,0.1566,LOW,HOLD_COURSE
side_safe_obstacle,2.0,0.1576,0.5235,0.0918,9.0,0.0554,False,-0.6847,0.4116,0.0923,0.7742,0.0,0.1563,LOW,HOLD_COURSE
side_safe_obstacle,2.2,0.1591,0.5255,0.0927,9.0,0.0522,False,-0.6818,0.4137,0.087,0.7746,0.0,0.156,LOW,HOLD_COURSE
side_safe_obstacle,2.4,0.1605,0.5274,0.0937,9.0,0.0489,False,-0.6789,0.4157,0.0815,0.775,0.0,0.1557,LOW,HOLD_COURSE
side_safe_obstacle,2.6,0.1619,0.5292,0.0946,9.0,0.0455,False,-0.6763,0.4175,0.0758,0.7754,0.0,0.1554,LOW,HOLD_COURSE
side_safe_obstacle,2.8,0.1631,0.5308,0.0954,9.0,0.042,False,-0.6738,0.4192,0.0699,0.7757,0.0,0.1551,LOW,HOLD_COURSE
side_safe_obstacle,3.0,0.1643,0.5324,0.0962,9.0,0.0384,False,-0.6715,0.4208,0.064,0.776,0.0,0.1549,LOW,HOLD_COURSE
side_safe_obstacle,3.2,0.1653,0.5338,0.0969,9.0,0.0347,False,-0.6693,0.4223,0.0579,0.7763,0.0,0.1546,LOW,HOLD_COURSE
side_safe_obstacle,3.4,0.1663,0.5351,0.0975,9.0,0.031,False,-0.6674,0.4236,0.0517,0.7766,0.0,0.1544,LOW,HOLD_COURSE
side_safe_obstacle,3.6,0.1671,0.5362,0.0981,9.0,0.0273,False,-0.6657,0.4248,0.0454,0.7768,0.0,0.1543,LOW,HOLD_COURSE
side_safe_obstacle,3.8,0.1679,0.5372,0.0986,9.0,0.0235,False,-0.6642,0.4259,0.0391,0.777,0.0,0.1541,LOW,HOLD_COURSE
