scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
crossing_right_to_left,0.0,0.0,0.1721,0.0,0.8608,0.0,5.0,8.0,9.2884,0.15,LOW,HOLD_COURSE
crossing_right_to_left,0.2,0.0,0.3439,0.0,0.8587,0.0,4.9,8.0,9.0899,0.1514,LOW,HOLD_COURSE
crossing_right_to_left,0.4,0.0,0.5152,0.0,0.8566,0.0,4.8,8.0,8.8917,0.1528,LOW,HOLD_COURSE
crossing_right_to_left,0.6,0.0,0.6861,0.0,0.8545,0.0,4.7,8.0,8.6939,0.1543,LOW,HOLD_COURSE
crossing_right_to_left,0.8,0.0,0.8565,0.0,0.8523,0.0,4.6,8.0,8.4964,0.1558,LOW,HOLD_COURSE
crossing_right_to_left,1.0,0.0,1.0266,0.0,0.8502,0.0,4.5,8.0,8.2993,0.1572,LOW,HOLD_COURSE
crossing_right_to_left,1.2,0.0,1.1962,0.0,0.8481,0.0,4.4,8.0,8.1026,0.1587,LOW,HOLD_COURSE
crossing_right_to_left,1.4,0.0,1.3654,0.0,0.8459,0.0,4.3,8.0,7.9062,0.1602,LOW,HOLD_COURSE
crossing_right_to_left,1.6,0.0,1.5347,0.0,0.8463,0.0,4.2,8.0,7.7098,0.16,LOW,HOLD_COURSE
crossing_right_to_left,1.8,-0.0003,1.6967,-0.1134,0.8103,-0.567,4.1,8.0,7.5196,0.1873,LOW,HOLD_COURSE
crossing_right_to_left,2.0,-0.0011,1.8521,-0.3044,0.7772,-0.9552,4.0,8.0,7.3352,0.2118,LOW,HOLD_COURSE
crossing_right_to_left,2.2,-0.0025,2.0061,-0.4849,0.7701,-0.9024,3.9,8.0,7.1523,0.217,LOW,HOLD_COURSE
crossing_right_to_left,2.4,-0.0042,2.1588,-0.6559,0.7631,-0.855,3.8,8.0,6.9708,0.2221,LOW,HOLD_COURSE
crossing_right_to_left,2.6,-0.0064,2.31,-0.8175,0.7564,-0.808,3.7,8.0,6.7907,0.227,LOW,HOLD_COURSE
crossing_right_to_left,2.8,-0.0089,2.46,-0.9698,0.7501,-0.7615,3.6,8.0,6.6118,0.2316,LOW,HOLD_COURSE
crossing_right_to_left,3.0,-0.0118,2.6072,-1.1236,0.7362,-0.7688,3.5,8.0,6.4354,0.2413,LOW,HOLD_COURSE
crossing_right_to_left,3.2,-0.015,2.751,-1.2816,0.7193,-0.7903,3.4,8.0,6.2621,0.2531,LOW,HOLD_COURSE
crossing_right_to_left,3.4,-0.0185,2.8914,-1.443,0.7019,-0.8067,3.3,8.0,6.0918,0.2652,LOW,HOLD_COURSE
crossing_right_to_left,3.6,-0.0224,3.0282,-1.6065,0.6842,-0.8176,3.2,8.0,5.9248,0.2774,LOW,HOLD_COURSE
crossing_right_to_left,3.8,-0.0265,3.1613,-1.7715,0.6662,-0.8249,3.1,8.0,5.7609,0.2896,LOW,HOLD_COURSE
crossing_right_to_left,4.0,-0.0351,3.2906,-3.8312,0.6478,-10.2984,3.0,8.0,5.6027,0.3018,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.2,-0.0484,3.4157,-6.0314,0.6291,-11.0012,2.9,8.0,5.4505,0.3141,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.4,-0.0661,3.5364,-8.3728,0.6101,-11.7068,2.8,8.0,5.3045,0.3264,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.6,-0.0884,3.6525,-10.8541,0.5908,-12.4068,2.7,8.0,5.1649,0.3387,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,4.8,-0.115,3.7636,-13.476,0.5711,-13.1096,2.6,8.0,5.0318,0.3509,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.0,-0.1458,3.8694,-16.2385,0.5511,-13.8124,2.5,8.0,4.9053,0.363,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.2,-0.1806,3.9697,-19.1404,0.5308,-14.5096,2.4,8.0,4.7857,0.3749,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.4,-0.2195,4.0654,-22.0956,0.5164,-14.7756,2.3,8.0,4.6722,0.383,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.6,-0.2613,4.1568,-24.5528,0.5026,-12.2864,2.2,8.0,4.5638,0.3908,MEDIUM,TURN_LEFT_SLOW
crossing_right_to_left,5.8,-0.2951,4.2482,-20.3206,0.4873,21.1612,2.1,8.0,4.4511,0.3991,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.0,-0.3221,4.3383,-16.681,0.4701,18.1978,2.0,8.0,4.3359,0.4083,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.2,-0.3432,4.4259,-13.5353,0.4506,15.7285,1.9,8.0,4.2197,0.4183,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.4,-0.3592,4.5099,-10.8012,0.4278,13.6706,1.8,8.0,4.104,0.4297,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.6,-0.3709,4.5889,-8.4101,0.3992,11.9556,1.7,8.0,3.9905,0.4434,MEDIUM,SLOW_DOWN
crossing_right_to_left,6.8,-0.3793,4.6654,-6.3061,0.385,10.5201,1.6,8.0,3.8778,0.45,MEDIUM,SLOW_DOWN
crossing_right_to_left,7.0,-0.3826,4.7424,-2.4521,0.385,19.2696,1.5,8.0,3.7625,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.2,-0.3807,4.8193,1.4152,0.385,19.3368,1.4,8.0,3.6452,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.4,-0.3736,4.896,5.2966,0.385,19.4068,1.3,8.0,3.5264,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.6,-0.3613,4.972,9.1914,0.385,19.474,1.2,8.0,3.4068,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,7.8,-0.3439,5.047,13.0991,0.385,19.5384,1.1,8.0,3.2871,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.0,-0.3213,5.1206,17.0202,0.385,19.6056,1.0,8.0,3.1681,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.2,-0.2938,5.1926,20.9542,0.385,19.67,0.9,8.0,3.0507,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.4,-0.2614,5.2624,24.9005,0.385,19.7316,0.8,8.0,2.9362,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.6,-0.2242,5.3298,28.8591,0.385,19.7932,0.7,8.0,2.8256,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,8.8,-0.1825,5.3945,32.8295,0.385,19.852,0.6,8.0,2.7204,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.0,-0.1363,5.4562,36.8117,0.385,19.9108,0.5,8.0,2.6222,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.2,-0.086,5.5145,40.8056,0.385,19.9696,0.4,8.0,2.5326,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.4,-0.0318,5.5691,44.8057,0.385,20.0004,0.3,8.0,2.4534,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.6,0.0262,5.6198,48.8047,0.385,19.9948,0.2,8.0,2.3865,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,9.8,0.0875,5.6664,52.8031,0.385,19.992,0.1,8.0,2.3337,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.0,0.1506,5.7105,55.0,0.385,19.992,0.0,8.0,2.2944,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.2,0.2137,5.7547,55.0,0.385,19.992,-0.1,8.0,2.2671,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.4,0.2767,5.7989,55.0,0.385,19.9948,-0.2,8.0,2.2522,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.6,0.3398,5.843,55.0,0.385,20.0004,-0.3,8.0,2.2499,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,10.8,0.4029,5.8872,55.0,0.385,19.9696,-0.4,8.0,2.2602,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.0,0.466,5.9314,55.0,0.385,19.9108,-0.5,8.0,2.2831,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.2,0.529,5.9755,55.0,0.385,19.852,-0.6,8.0,2.318,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.4,0.5921,6.0197,55.0,0.385,19.7932,-0.7,8.0,2.3646,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.6,0.6552,6.0639,55.0,0.385,19.7316,-0.8,8.0,2.422,0.45,MEDIUM,TURN_RIGHT_SLOW
crossing_right_to_left,11.8,0.7183,6.108,55.0,0.385,19.67,-0.9,8.0,2.4897,0.45,MEDIUM,TURN_RIGHT_SLOW
