scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
frontal_static_obstacle,0.0,0.0,0.1761,0.0,0.8803,0.0,0.0,9.0,8.8239,0.1365,LOW,HOLD_COURSE
frontal_static_obstacle,0.2,0.0,0.3521,0.0,0.8803,0.0,0.0,9.0,8.6479,0.1365,LOW,HOLD_COURSE
frontal_static_obstacle,0.4,0.0,0.5257,0.0,0.8679,0.0,0.0,9.0,8.4743,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,0.6,0.0,0.6993,0.0,0.8679,0.0,0.0,9.0,8.3007,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,0.8,0.0,0.8729,0.0,0.8679,0.0,0.0,9.0,8.1271,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.0,0.0,1.0465,0.0,0.8679,0.0,0.0,9.0,7.9535,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.2,0.0,1.22,0.0,0.8679,0.0,0.0,9.0,7.78,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.4,0.0,1.3936,0.0,0.8679,0.0,0.0,9.0,7.6064,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.6,0.0,1.5672,0.0,0.8679,0.0,0.0,9.0,7.4328,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,1.8,0.0,1.7408,0.0,0.8679,0.0,0.0,9.0,7.2592,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.0,0.0,1.9144,0.0,0.8679,0.0,0.0,9.0,7.0856,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.2,0.0,2.0879,0.0,0.8679,0.0,0.0,9.0,6.9121,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.4,0.0,2.2615,0.0,0.8679,0.0,0.0,9.0,6.7385,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.6,0.0,2.4351,0.0,0.8679,0.0,0.0,9.0,6.5649,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,2.8,0.0,2.6087,0.0,0.8679,0.0,0.0,9.0,6.3913,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.0,0.0,2.7823,0.0,0.8679,0.0,0.0,9.0,6.2177,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.2,0.0,2.9558,0.0,0.8679,0.0,0.0,9.0,6.0442,0.145,LOW,HOLD_COURSE
frontal_static_obstacle,3.4,0.0,3.1294,0.0,0.8679,0.0,0.0,9.0,5.8706,0.145,LOW,HOLD_COURSE
