scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
crossing_left_to_right,0.0,0.0,0.1721,0.0,0.8608,0.0,-5.0,8.0,9.2884,0.15,LOW,HOLD_COURSE
crossing_left_to_right,0.2,0.0,0.3439,0.0,0.8587,0.0,-4.9,8.0,9.0899,0.1514,LOW,HOLD_COURSE
crossing_left_to_right,0.4,0.0,0.5152,0.0,0.8566,0.0,-4.8,8.0,8.8917,0.1528,LOW,HOLD_COURSE
crossing_left_to_right,0.6,0.0,0.6861,0.0,0.8545,0.0,-4.7,8.0,8.6939,0.1543,LOW,HOLD_COURSE
crossing_left_to_right,0.8,0.0,0.8565,0.0,0.8523,0.0,-4.6,8.0,8.4964,0.1558,LOW,HOLD_COURSE
crossing_left_to_right,1.0,0.0,1.0266,0.0,0.8502,0.0,-4.5,8.0,8.2993,0.1572,LOW,HOLD_COURSE
crossing_left_to_right,1.2,0.0,1.1962,0.0,0.8481,0.0,-4.4,8.0,8.1026,0.1587,LOW,HOLD_COURSE
crossing_left_to_right,1.4,0.0,1.3654,0.0,0.8459,0.0,-4.3,8.0,7.9062,0.1602,LOW,HOLD_COURSE
crossing_left_to_right,1.6,0.0,1.5347,0.0,0.8463,0.0,-4.2,8.0,7.7098,0.16,LOW,HOLD_COURSE
crossing_left_to_right,1.8,0.0,1.6967,0.0,0.8103,0.0,-4.1,8.0,7.5194,0.1873,LOW,HOLD_COURSE
crossing_left_to_right,2.0,0.0,1.8521,0.0,0.7772,0.0,-4.0,8.0,7.3346,0.2118,LOW,HOLD_COURSE
crossing_left_to_right,2.2,0.0,2.0062,0.0,0.7701,0.0,-3.9,8.0,7.151,0.217,LOW,HOLD_COURSE
crossing_left_to_right,2.4,0.0,2.1588,0.0,0.7631,0.0,-3.8,8.0,6.9685,0.2221,LOW,HOLD_COURSE
crossing_left_to_right,2.6,0.0,2.31,0.0,0.7564,0.0,-3.7,8.0,6.7872,0.227,LOW,HOLD_COURSE
crossing_left_to_right,2.8,0.0,2.4601,0.0,0.7501,0.0,-3.6,8.0,6.6069,0.2316,LOW,HOLD_COURSE
crossing_left_to_right,3.0,0.0,2.6073,0.0,0.7362,0.0,-3.5,8.0,6.4289,0.2413,LOW,HOLD_COURSE
crossing_left_to_right,3.2,0.0,2.7512,0.0,0.7193,0.0,-3.4,8.0,6.2538,0.2531,LOW,HOLD_COURSE
