scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
no_obstacle,0.0,0.0,0.1761,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,0.2,0.0,0.3521,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,0.4,0.0,0.5282,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,0.6,0.0,0.7043,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,0.8,0.0,0.8803,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,1.0,0.0,1.0564,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,1.2,0.0,1.2325,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,1.4,0.0,1.4085,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,1.6,0.0,1.5846,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,1.8,0.0,1.7607,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,2.0,0.0,1.9367,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,2.2,0.0,2.1128,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,2.4,0.0,2.2889,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,2.6,0.0,2.4649,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,2.8,0.0,2.641,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,3.0,0.0,2.8171,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,3.2,0.0,2.9931,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,3.4,0.0,3.1692,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,3.6,0.0,3.3453,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,3.8,0.0,3.5213,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,4.0,0.0,3.6974,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,4.2,0.0,3.8735,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,4.4,0.0,4.0495,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
