scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
side_safe_obstacle,0.0,0.0,0.1692,0.0,0.8461,0.0,-5.0,4.0,6.2988,0.1601,LOW,HOLD_COURSE
side_safe_obstacle,0.2,0.0,0.3386,0.0,0.8467,0.0,-5.0,4.05,6.2269,0.1597,LOW,HOLD_COURSE
side_safe_obstacle,0.4,0.0,0.508,0.0,0.8472,0.0,-5.0,4.1,6.1565,0.1593,LOW,HOLD_COURSE
side_safe_obstacle,0.6,0.0,0.6776,0.0,0.8479,0.0,-5.0,4.15,6.0875,0.1589,LOW,HOLD_COURSE
side_safe_obstacle,0.8,0.0,0.8473,0.0,0.8484,0.0,-5.0,4.2,6.02,0.1585,LOW,HOLD_COURSE
side_safe_obstacle,1.0,0.0,1.0171,0.0,0.849,0.0,-5.0,4.25,5.9541,0.1581,LOW,HOLD_COURSE
side_safe_obstacle,1.2,0.0,1.187,0.0,0.8495,0.0,-5.0,4.3,5.8899,0.1577,LOW,HOLD_COURSE
side_safe_obstacle,1.4,0.0,1.357,0.0,0.8501,0.0,-5.0,4.35,5.8274,0.1573,LOW,HOLD_COURSE
side_safe_obstacle,1.6,0.0,1.5271,0.0,0.8506,0.0,-5.0,4.4,5.7666,0.157,LOW,HOLD_COURSE
side_safe_obstacle,1.8,0.0,1.6973,0.0,0.8511,0.0,-5.0,4.45,5.7076,0.1566,LOW,HOLD_COURSE
side_safe_obstacle,2.0,0.0,1.8676,0.0,0.8516,0.0,-5.0,4.5,5.6506,0.1563,LOW,HOLD_COURSE
side_safe_obstacle,2.2,0.0,2.0381,0.0,0.8521,0.0,-5.0,4.55,5.5955,0.156,LOW,HOLD_COURSE
side_safe_obstacle,2.4,0.0,2.2086,0.0,0.8525,0.0,-5.0,4.6,5.5425,0.1557,LOW,HOLD_COURSE
side_safe_obstacle,2.6,0.0,2.3791,0.0,0.8529,0.0,-5.0,4.65,5.4915,0.1554,LOW,HOLD_COURSE
side_safe_obstacle,2.8,0.0,2.5498,0.0,0.8533,0.0,-5.0,4.7,5.4427,0.1551,LOW,HOLD_COURSE
side_safe_obstacle,3.0,0.0,2.7205,0.0,0.8536,0.0,-5.0,4.75,5.3962,0.1549,LOW,HOLD_COURSE
side_safe_obstacle,3.2,0.0,2.8913,0.0,0.8539,0.0,-5.0,4.8,5.3519,0.1546,LOW,HOLD_COURSE
side_safe_obstacle,3.4,0.0,3.0622,0.0,0.8543,0.0,-5.0,4.85,5.31,0.1544,LOW,HOLD_COURSE
side_safe_obstacle,3.6,0.0,3.2331,0.0,0.8545,0.0,-5.0,4.9,5.2706,0.1543,LOW,HOLD_COURSE
side_safe_obstacle,3.8,0.0,3.404,0.0,0.8547,0.0,-5.0,4.95,5.2336,0.1541,LOW,HOLD_COURSE
side_safe_obstacle,4.0,0.0,3.575,0.0,0.8549,0.0,-5.0,5.0,5.1991,0.154,LOW,HOLD_COURSE
side_safe_obstacle,4.2,0.0,3.746,0.0,0.8551,0.0,-5.0,5.05,5.1672,0.1538,LOW,HOLD_COURSE
side_safe_obstacle,4.4,0.0,3.9171,0.0,0.8553,0.0,-5.0,5.1,5.138,0.1538,LOW,HOLD_COURSE
side_safe_obstacle,4.6,0.0,4.0881,0.0,0.8554,0.0,-5.0,5.15,5.1115,0.1537,LOW,HOLD_COURSE
side_safe_obstacle,4.8,0.0,4.2592,0.0,0.8554,0.0,-5.0,5.2,5.0877,0.1537,LOW,HOLD_COURSE
side_safe_obstacle,5.0,0.0,4.4303,0.0,0.8554,0.0,-5.0,5.25,5.0667,0.1536,LOW,HOLD_COURSE
side_safe_obstacle,5.2,0.0,4.6013,0.0,0.8554,0.0,-5.0,5.3,5.0486,0.1537,LOW,HOLD_COURSE
side_safe_obstacle,5.4,0.0,4.7724,0.0,0.8554,0.0,-5.0,5.35,5.0332,0.1537,LOW,HOLD_COURSE
side_safe_obstacle,5.6,0.0,4.9435,0.0,0.8553,0.0,-5.0,5.4,5.0208,0.1538,LOW,HOLD_COURSE
side_safe_obstacle,5.8,0.0,5.1145,0.0,0.8551,0.0,-5.0,5.45,5.0112,0.1538,LOW,HOLD_COURSE
side_safe_obstacle,6.0,0.0,5.2855,0.0,0.8549,0.0,-5.0,5.5,5.0046,0.154,LOW,HOLD_COURSE
side_safe_obstacle,6.2,0.0,5.4564,0.0,0.8547,0.0,-5.0,5.55,5.0009,0.1541,LOW,HOLD_COURSE
side_safe_obstacle,6.4,0.0,5.6273,0.0,0.8545,0.0,-5.0,5.6,5.0001,0.1543,LOW,HOLD_COURSE
side_safe_obstacle,6.6,0.0,5.7982,0.0,0.8543,0.0,-5.0,5.65,5.0022,0.1544,LOW,HOLD_COURSE
side_safe_obstacle,6.8,0.0,5.969,0.0,0.8539,0.0,-5.0,5.7,5.0072,0.1546,LOW,HOLD_COURSE
side_safe_obstacle,7.0,0.0,6.1397,0.0,0.8536,0.0,-5.0,5.75,5.0152,0.1549,LOW,HOLD_COURSE
side_safe_obstacle,7.2,0.0,6.3103,0.0,0.8533,0.0,-5.0,5.8,5.026,0.1551,LOW,HOLD_COURSE
side_safe_obstacle,7.4,0.0,6.4809,0.0,0.8529,0.0,-5.0,5.85,5.0396,0.1554,LOW,HOLD_COURSE
side_safe_obstacle,7.6,0.0,6.6514,0.0,0.8525,0.0,-5.0,5.9,5.0561,0.1557,LOW,HOLD_COURSE
side_safe_obstacle,7.8,0.0,6.8218,0.0,0.8521,0.0,-5.0,5.95,5.0754,0.156,LOW,HOLD_COURSE
side_safe_obstacle,8.0,0.0,6.9921,0.0,0.8516,0.0,-5.0,6.0,5.0975,0.1563,LOW,HOLD_COURSE
side_safe_obstacle,8.2,0.0,7.1624,0.0,0.8511,0.0,-5.0,6.05,5.1222,0.1566,LOW,HOLD_COURSE
side_safe_obstacle,8.4,0.0,7.3325,0.0,0.8506,0.0,-5.0,6.1,5.1497,0.157,LOW,HOLD_COURSE
side_safe_obstacle,8.6,0.0,7.5025,0.0,0.8501,0.0,-5.0,6.15,5.1797,0.1573,LOW,HOLD_COURSE
side_safe_obstacle,8.8,0.0,7.6724,0.0,0.8495,0.0,-5.0,6.2,5.2123,0.1577,LOW,HOLD_COURSE
side_safe_obstacle,9.0,0.0,7.8422,0.0,0.849,0.0,-5.0,6.25,5.2474,0.1581,LOW,HOLD_COURSE
side_safe_obstacle,9.2,0.0,8.0119,0.0,0.8484,0.0,-5.0,6.3,5.2849,0.1585,LOW,HOLD_COURSE
side_safe_obstacle,9.4,0.0,8.1815,0.0,0.8479,0.0,-5.0,6.35,5.3249,0.1589,LOW,HOLD_COURSE
side_safe_obstacle,9.6,0.0,8.3509,0.0,0.8472,0.0,-5.0,6.4,5.3671,0.1593,LOW,HOLD_COURSE
side_safe_obstacle,9.8,0.0,8.5202,0.0,0.8467,0.0,-5.0,6.45,5.4116,0.1597,LOW,HOLD_COURSE
side_safe_obstacle,10.0,0.0,8.6895,0.0,0.8461,0.0,-5.0,6.5,5.4584,0.1601,LOW,HOLD_COURSE
side_safe_obstacle,10.2,0.0,8.8586,0.0,0.8455,0.0,-5.0,6.55,5.5072,0.1605,LOW,HOLD_COURSE
